zip,city,state,latitude,longitude,timezone,dst,location
78250,San Antonio,TX,29.510204,-98.66784,-6,True,POINT(-98.66784 29.510204)
78251,San Antonio,TX,29.466061,-98.67004,-6,True,POINT(-98.67004 29.466061)
78252,San Antonio,TX,29.335577,-98.70173,-6,True,POINT(-98.70173 29.335577)
78253,San Antonio,TX,29.461353,-98.75976,-6,True,POINT(-98.75976 29.461353)
78254,San Antonio,TX,29.523294,-98.74504,-6,True,POINT(-98.74504 29.523294)
78255,San Antonio,TX,29.665822,-98.66812,-6,True,POINT(-98.66812 29.665822)
78256,San Antonio,TX,29.623533,-98.62493,-6,True,POINT(-98.62493 29.623533)
78257,San Antonio,TX,29.646618,-98.6099,-6,True,POINT(-98.6099 29.646618)
78258,San Antonio,TX,29.649797,-98.50406,-6,True,POINT(-98.50406 29.649797)
78259,San Antonio,TX,29.627332,-98.42781,-6,True,POINT(-98.42781 29.627332)
78260,San Antonio,TX,29.707273,-98.47969,-6,True,POINT(-98.47969 29.707273)
78261,San Antonio,TX,29.698045,-98.42624,-6,True,POINT(-98.42624 29.698045)
78262,San Antonio,TX,29.449332,-98.290394,-6,True,POINT(-98.290394 29.449332)
78263,San Antonio,TX,29.358153,-98.31978,-6,True,POINT(-98.31978 29.358153)
78264,San Antonio,TX,29.193828,-98.51795,-6,True,POINT(-98.51795 29.193828)
78265,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78266,San Antonio,TX,29.641132,-98.30856,-6,True,POINT(-98.30856 29.641132)
78268,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78269,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78270,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78275,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78278,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78279,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78280,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78283,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78284,San Antonio,TX,29.442632,-98.491344,-6,True,POINT(-98.491344 29.442632)
78285,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78286,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78287,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78288,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
78289,San Antonio,TX,29.437532,-98.461582,-6,True,POINT(-98.461582 29.437532)
